semestre,matriculados,registros,presentes,publicados,puntaje_global,puntaje_lectura,puntaje_matematicas,puntaje_sociales,puntaje_naturales,puntaje_ingles,comuna,prestacion_servicio,ponderado_global,ponderado_lectura,ponderado_matematicas,ponderado_sociales,ponderado_naturales,ponderado_ingles,punt_global_med,punt_lectura_med,punt_matematicas_med,punt_sociales_med,punt_naturales_med,punt_ingles_med,punt_global_sector,punt_lectura_sector,punt_matematicas_sector,punt_sociales_sector,punt_naturales_sector,punt_ingles_sector,punt_global_comu,punt_lectura_comu,punt_matematicas_comu,punt_sociales_comu,punt_naturales_comu,punt_ingles_comu
20142,66.0,66,64,63,240.0,50.0,49.0,48.0,46.0,46.0, popular,contratacion,15120.0,3150.0,3087.0,3024.0,2898.0,2898.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,31.0,31,29,29,238.0,49.0,48.0,47.0,47.0,47.0, popular,contratacion,6902.0,1421.0,1392.0,1363.0,1363.0,1363.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,73.0,73,73,73,232.0,48.0,46.0,47.0,45.0,46.0, popular,contratacion,16936.0,3504.0,3358.0,3431.0,3285.0,3358.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,38.0,38,38,38,246.0,53.0,47.0,50.0,47.0,49.0, popular,contratacion,9348.0,2014.0,1786.0,1900.0,1786.0,1862.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,81.0,81,79,78,247.0,51.0,49.0,50.0,48.0,47.0, popular,oficial,19266.0,3978.0,3822.0,3900.0,3744.0,3666.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,128.0,126,125,124,252.0,51.0,51.0,51.0,49.0,49.0, popular,oficial,31248.0,6324.0,6324.0,6324.0,6076.0,6076.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,82.0,81,79,78,249.0,53.0,49.0,51.0,47.0,48.0, popular,oficial,19422.0,4134.0,3822.0,3978.0,3666.0,3744.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,27.0,26,25,25,239.0,49.0,47.0,49.0,47.0,46.0, popular,oficial,5975.0,1225.0,1175.0,1225.0,1175.0,1150.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,83.0,78,73,72,227.0,47.0,46.0,44.0,44.0,46.0, popular,oficial,16344.0,3384.0,3312.0,3168.0,3168.0,3312.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,105.0,104,103,103,249.0,52.0,49.0,50.0,48.0,50.0, popular,contratacion,25647.0,5356.0,5047.0,5150.0,4944.0,5150.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,77.0,68,68,67,239.0,49.0,47.0,48.0,47.0,49.0, popular,oficial,16013.0,3283.0,3149.0,3216.0,3149.0,3283.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,46.0,46,46,46,251.0,52.0,50.0,51.0,48.0,49.0, popular,oficial,11546.0,2392.0,2300.0,2346.0,2208.0,2254.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,24.0,59,57,57,235.0,48.0,45.0,48.0,47.0,48.0, popular,oficial,13395.0,2736.0,2565.0,2736.0,2679.0,2736.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,21.0,21,21,20,275.0,57.0,55.0,55.0,54.0,53.0, popular,contratacion,5500.0,1140.0,1100.0,1100.0,1080.0,1060.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,174.0,172,166,165,248.0,51.0,49.0,50.0,49.0,48.0, popular,oficial,40920.0,8415.0,8085.0,8250.0,8085.0,7920.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,37.0,36,36,36,257.0,53.0,50.0,51.0,52.0,49.0, popular,oficial,9252.0,1908.0,1800.0,1836.0,1872.0,1764.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,56.0,55,55,55,231.0,48.0,47.0,47.0,43.0,46.0, popular,oficial,12705.0,2640.0,2585.0,2585.0,2365.0,2530.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
20142,80.0,73,73,73,247.0,52.0,48.0,50.0,48.0,48.0,santa cruz,oficial,18031.0,3796.0,3504.0,3650.0,3504.0,3504.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,247.7364865,50.98310811,48.85810811,50.09290541,48.73986486,48.17905405
20142,32.0,25,24,24,236.0,49.0,48.0,46.0,46.0,47.0,santa cruz,oficial,5664.0,1176.0,1152.0,1104.0,1104.0,1128.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,247.7364865,50.98310811,48.85810811,50.09290541,48.73986486,48.17905405
20142,35.0,23,23,23,241.0,49.0,47.0,50.0,47.0,47.0,santa cruz,oficial,5543.0,1127.0,1081.0,1150.0,1081.0,1081.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,247.7364865,50.98310811,48.85810811,50.09290541,48.73986486,48.17905405
20142,80.0,74,73,73,258.0,53.0,51.0,51.0,52.0,50.0,santa cruz,oficial,18834.0,3869.0,3723.0,3723.0,3796.0,3650.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,247.7364865,50.98310811,48.85810811,50.09290541,48.73986486,48.17905405
