tipo_entidad,fecha_corte,renglon,desc_renglon,saldo_a_la_fecha,riesgo_a_c,riesgo_b_c,riesgo_c_c,riesgo_d_c,riesgo_e_c,venc1_6,venc6_12,venc+12,year_month
COMPAÑIAS DE FINANCIAMIENTO,2019-03-31,5,VEHÍCULO,288.980595,0,0,0,0,0,29.894144,14.957033,0.0,2019-03-01
ESTABLECIMIENTOS BANCARIOS,2015-12-31,5,L. HAB. NO VIS PESOS TOTAL,160999.257516,592,12,1,3,1,14365.376552,246.013058,1605.887242,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2019-03-31,5,MONEDA EXTRANJERA,1201795.940094,777,14,3,0,2,634.730812,0.0,471.9846,2019-03-01
COMPAÑIAS DE FINANCIAMIENTO,2020-06-30,5,VIS UVR TOTAL,18566.672275,0,0,0,0,0,0.0,55.368682,0.0,2020-06-01
INSTITUCIONES OFICIALES ESPECIALES,2017-05-31,5,VIS PESOS TOTAL,33.877249,2,0,1,1,3,3.135796,7.752514,19.726706,2017-05-01
ESTABLECIMIENTOS BANCARIOS,2017-04-30,5,FINANCIERO E INSTITUCIONAL,24382.905566,20,0,0,0,0,0.0,0.0,0.0,2017-04-01
ESTABLECIMIENTOS BANCARIOS,2019-06-30,5,MICRO MENOR TOTAL,455082.357947,80611,1537,908,873,5556,33541.331769,0.0,0.0,2019-06-01
ESTABLECIMIENTOS BANCARIOS,2022-06-30,5,LIBRE INVERSIÓN,485.825218,10,0,0,0,0,0.0,0.0,0.0,2022-06-01
ESTABLECIMIENTOS BANCARIOS,2019-01-31,5,MICROEMPRESA,87644.9121,8,1,0,0,0,0.0,0.0,0.0,2019-01-01
ESTABLECIMIENTOS BANCARIOS,2016-06-30,5,NO VIS PESOS TOTAL,15573.976907,747,37,17,15,29,332.77321,82.377188,214.960418,2016-06-01
ESTABLECIMIENTOS BANCARIOS,2020-02-29,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,2770.193908,46,0,0,0,0,0.0,0.0,0.0,2020-02-01
ESTABLECIMIENTOS BANCARIOS,2016-06-30,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,303.357817,33,0,0,0,0,0.0,0.0,0.0,2016-06-01
ESTABLECIMIENTOS BANCARIOS,2015-04-30,5,MICRO MAYOR TOTAL,3186.243936,246,17,2,5,2,343.801746,0.0,0.0,2015-04-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2017-11-30,5,NO VIS PESOS TOTAL,40081.684154,590,4,0,27,3,549.465482,432.837971,347.939654,2017-11-01
ESTABLECIMIENTOS BANCARIOS,2020-10-31,15,CONSTRUCCIÓN DE PROYECTOS DE VIVIENDA,70882.043505,16,1,2,1,0,13362.60428,0.0,596.091178,2020-10-01
ESTABLECIMIENTOS BANCARIOS,2015-12-31,5,MICROEMPRESA,1634.691163,51,5,3,9,0,52.494296,60.56013,0.0,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2023-05-31,5,VIS PESOS TOTAL,3586090.61300338,83890,2084,734,1261,998,133968.21054541,24624.378374990003,40693.15125,2023-05-01
